model,dataset,lr,curvature,batch_size,weight_decay,best_epochs,best_epoch_mean,best_epoch_std,val_acc_mean,val_acc_std,val_top5_acc_mean,val_top5_acc_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_score_mean,val_f1_score_std,val_loss_mean,val_loss_std,test_acc_mean,test_acc_std,test_top5_acc_mean,test_top5_acc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_score_mean,test_f1_score_std,test_loss_mean,test_loss_std
bdeir,flowers,0.007037327907890684,0.007975461172414383,128,1.7494640937759851e-06,"20-18-21-38-20-11-13-13-24-17",19.50,7.28,84.9706,0.2705,96.1078,0.2632,0.8611,0.0027,0.8497,0.0027,0.8475,0.0029,0.6685,0.0362,84.3796,0.3772,95.3911,0.1522,0.8600,0.0029,0.8438,0.0038,0.8450,0.0036,0.6865,0.0343
euclidean,flowers,0.008890626668901551,0.1,64,0.0001533293258517165,"18-12-11-30-20-23-28-25-12-19",19.80,6.42,85.6961,0.2255,96.2157,0.2157,0.8693,0.0027,0.8570,0.0023,0.8549,0.0025,0.6196,0.0295,84.9878,0.3512,95.6643,0.0998,0.8647,0.0023,0.8499,0.0035,0.8510,0.0029,0.6360,0.0275
lorentz_forward,flowers,0.009510356683443801,0.0004042981073941579,64,1.4057742913326566e-05,"14-12-17-17-12-12-24-34-9-19",17.00,7.00,85.3333,0.3075,96.1569,0.2312,0.8658,0.0039,0.8533,0.0031,0.8511,0.0029,0.6388,0.0296,84.6609,0.4775,95.4692,0.1631,0.8627,0.0017,0.8466,0.0048,0.8478,0.0043,0.6510,0.0294
poincare,flowers,0.003774584246695056,9.808847655329518e-05,64,8.103042583468144e-05,"18-18-17-18-17-18-17-19-28-7",17.70,4.73,85.7157,0.2596,96.2843,0.1883,0.8683,0.0024,0.8572,0.0026,0.8556,0.0026,0.5941,0.0236,85.1098,0.2043,95.7180,0.1548,0.8654,0.0018,0.8511,0.0020,0.8521,0.0018,0.6096,0.0188
lorentz_dist,flowers,0.00457937199019305,0.000959110821509957,64,6.944117293611722e-06,"22-22-32-13-12-22-24-24-12-23",20.60,6.09,85.3235,0.3971,96.1863,0.3323,0.8651,0.0034,0.8532,0.0040,0.8508,0.0042,0.6896,0.0514,84.4658,0.4110,95.4220,0.1429,0.8603,0.0028,0.8447,0.0041,0.8457,0.0041,0.7064,0.0537
lorentz_dist,dogs-custom,0.0025934975769118583,0.012595652719909844,128,0.00010566533665607574,"8-7-8-7-6-8-7-10-8-6",7.50,1.12,90.6667,0.1807,99.5250,0.0773,0.9122,0.0024,0.9067,0.0018,0.9062,0.0019,0.3058,0.0026,91.2646,0.1220,99.4429,0.0364,0.9156,0.0012,0.9126,0.0012,0.9129,0.0013,0.2979,0.0028
lorentz_angle,flowers,0.0017169684125471812,0.0024167918765844263,64,9.440515328289189e-06,"32-42-32-34-33-24-33-33-42-33",33.80,4.89,85.0882,0.3083,96.1961,0.2433,0.8621,0.0031,0.8509,0.0031,0.8488,0.0033,0.7568,0.0368,84.3536,0.2702,95.3456,0.1389,0.8585,0.0020,0.8435,0.0027,0.8446,0.0027,0.7767,0.0411
lorentz_angle,dogs-custom,0.0015575558466407572,0.0026044462443799393,64,0.00036663492271813135,"7-8-7-7-6-9-7-8-10-4",7.30,1.55,90.8042,0.0769,99.5417,0.0373,0.9138,0.0012,0.9080,0.0008,0.9076,0.0009,0.3149,0.0162,91.4779,0.2253,99.5082,0.0316,0.9178,0.0015,0.9148,0.0023,0.9150,0.0022,0.3027,0.0166
lorentz_forward,dogs-custom,0.0020498127748633716,0.001116081543100562,64,0.00043554168727519244,"6-5-12-7-9-8-12-8-9-8",8.40,2.15,90.7125,0.1877,99.5292,0.0561,0.9126,0.0018,0.9071,0.0019,0.9068,0.0021,0.3066,0.0084,91.1865,0.1970,99.4371,0.0300,0.9153,0.0017,0.9119,0.0020,0.9121,0.0020,0.2961,0.0067
poincare,aircraft,0.0035298520041622894,0.00048581730348640857,64,3.854127072268652e-05,"25-19-23-24-22-22-32-23-15-24",22.90,4.11,36.1386,0.3315,62.3912,0.4649,0.3815,0.0041,0.3614,0.0033,0.3594,0.0033,3.2411,0.0755,35.3465,0.3829,61.7522,0.2484,0.3765,0.0054,0.3535,0.0038,0.3537,0.0031,3.2882,0.0840
lorentz_angle,aircraft,0.00711792042185352,0.0013879901699553345,64,1.3367393704400487e-05,"26-14-23-24-35-22-31-35-27-35",27.20,6.54,34.5425,0.5335,60.6271,0.3987,0.3767,0.0099,0.3454,0.0053,0.3431,0.0076,4.3807,0.5618,33.5704,0.5314,59.7360,0.6914,0.3689,0.0092,0.3357,0.0053,0.3342,0.0072,4.4354,0.5575
lorentz_dist,aircraft,0.004936500130266763,0.0004664661265862643,64,3.2056464854536035e-05,"28-19-19-26-20-26-19-33-20-28",23.80,4.77,34.5665,0.2708,60.5911,0.3651,0.3687,0.0045,0.3457,0.0027,0.3409,0.0034,3.3088,0.2550,33.3663,0.5438,59.6370,0.5639,0.3571,0.0097,0.3337,0.0054,0.3298,0.0073,3.4291,0.2651
lorentz_forward,aircraft,0.003964071680515729,0.000967554461479087,64,0.0003988553655483353,"21-30-22-32-21-55-28-31-29-50",31.90,11.07,34.5995,0.3577,60.5881,0.6788,0.3667,0.0042,0.3460,0.0036,0.3439,0.0043,3.8775,0.6855,33.8944,0.8022,59.7330,0.6318,0.3591,0.0087,0.3389,0.0080,0.3379,0.0083,4.0509,0.7048
bdeir,aircraft,0.005548414622914713,2.748318723093581e-05,64,0.0005824276100685885,"24-40-32-35-29-35-34-27-37-39",33.20,4.94,36.2496,0.2883,62.7483,0.3931,0.3779,0.0046,0.3625,0.0029,0.3590,0.0038,2.9413,0.0323,35.3075,0.4172,61.8482,0.3736,0.3746,0.0055,0.3531,0.0042,0.3526,0.0051,2.9715,0.0373
euclidean,dogs-custom,0.0004151468495464389,0.1,64,1.2099357381935657e-05,"27-18-26-15-9-26-18-26-19-18",20.20,5.62,90.7792,0.1526,99.5750,0.0250,0.9128,0.0014,0.9078,0.0015,0.9074,0.0017,0.3342,0.0458,91.6562,0.1729,99.5408,0.0296,0.9185,0.0016,0.9166,0.0017,0.9167,0.0018,0.3200,0.0457
euclidean,aircraft,0.009745795244365196,0.1,64,0.0009618116925057345,"25-31-36-37-29-23-35-33-44-25",31.80,6.19,36.5857,0.2539,63.1773,0.1582,0.3757,0.0032,0.3659,0.0025,0.3637,0.0032,3.1531,0.0854,35.7696,0.3483,61.9502,0.2506,0.3716,0.0051,0.3577,0.0035,0.3578,0.0047,3.2021,0.0903
poincare,dogs-custom,0.00032593963200526276,0.0002978055067487586,64,8.115159066833684e-06,"10-6-11-17-11-9-10-7-9-8",9.80,2.86,90.8583,0.1493,99.5333,0.0553,0.9138,0.0013,0.9086,0.0015,0.9081,0.0015,0.3082,0.0103,91.6119,0.0778,99.5035,0.0296,0.9183,0.0007,0.9161,0.0008,0.9163,0.0008,0.2935,0.0105
bdeir,dogs-custom,0.0008048640804195666,1.7118928325064546e-05,64,3.07999215072048e-05,"21-18-9-17-16-19-16-17-8-16",15.70,3.90,90.8750,0.1118,99.5583,0.0500,0.9137,0.0010,0.9088,0.0011,0.9085,0.0011,0.3080,0.0201,91.6981,0.1450,99.5175,0.0149,0.9191,0.0014,0.9170,0.0015,0.9172,0.0015,0.2940,0.0198
